time_period,time_identifier,geographic_level,country_code,country_name,version,school_establishment,breakdown,years_open,predecessor_flag,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_94,pt_l2basics_94,t_l2basics_95,pt_l2basics_95,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_94,pt_ebacc_94,t_ebacc_95,pt_ebacc_95,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp,t_entry_1,pt_entry_1,t_anypass,pt_anypass
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,3,0,19,2960,123889.5,41.9,2875,97.1,1673,56.5,1074,36.3,889,30,486,16.4,311,10.5,10543.53,3.56,2719,-677.481,-0.25,-0.3,-0.2,2896,97.8,2875,97.1
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,4,0,50,8039,319265.75,39.7,7795,97,4215,52.4,2525,31.4,2803,34.9,1204,15,705,8.8,27509.8,3.42,7491,-2625.361,-0.35,-0.38,-0.32,7887,98.1,7821,97.3
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,5,0,69,10959,460007.25,42,10699,97.6,6273,57.2,3963,36.2,3911,35.7,1753,16,1057,9.6,39365.91,3.59,10250,-2302.722,-0.22,-0.25,-0.2,10796,98.5,10726,97.9
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,6,0,65,10263,406243.25,39.6,9978,97.2,5269,51.3,3096,30.2,3206,31.2,1328,12.9,771,7.5,34410.82,3.35,9399,-3158.875,-0.34,-0.36,-0.31,10082,98.2,10002,97.5
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,7,0,39,6555,271127.5,41.4,6381,97.3,3644,55.6,2292,35,2539,38.7,1219,18.6,759,11.6,23540.38,3.59,5964,-1080.212,-0.18,-0.22,-0.15,6448,98.4,6394,97.5
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,8,0,56,8903,378087.25,42.5,8687,97.6,5282,59.3,3348,37.6,3424,38.5,1700,19.1,1064,12,32827.29,3.69,8327,-1778.654,-0.21,-0.24,-0.18,8772,98.5,8699,97.7
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,9,0,53,8539,364239,42.7,8280,97,4987,58.4,3249,38,3691,43.2,1785,20.9,1126,13.2,32052.75,3.75,7881,-944.238,-0.12,-0.15,-0.09,8390,98.3,8341,97.7
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,10,0,65,10609,439414,41.4,10344,97.5,6020,56.7,3748,35.3,3660,34.5,1853,17.5,1164,11,38012.71,3.58,9879,-2425.728,-0.25,-0.27,-0.22,10434,98.4,10341,97.5
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,11,0,50,8859,360519,40.7,8598,97.1,4797,54.1,3031,34.2,2521,28.5,1177,13.3,738,8.3,30467.12,3.44,8208,-1597.257,-0.19,-0.23,-0.16,8693,98.1,8629,97.4
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,12,0,44,7799,325050,41.7,7598,97.4,4402,56.4,2707,34.7,2046,26.2,1151,14.8,741,9.5,27321.5,3.5,7385,-2116.97,-0.29,-0.32,-0.25,7647,98.1,7599,97.4
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,13,0,55,10038,408442.25,40.7,9776,97.4,5398,53.8,3238,32.3,3133,31.2,1492,14.9,901,9,34671.26,3.45,9352,-2117.239,-0.23,-0.26,-0.2,9874,98.4,9809,97.7
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,14,0,57,11061,463038.5,41.9,10777,97.4,6299,56.9,3945,35.7,3870,35,1872,16.9,1165,10.5,39823.4,3.6,10272,-2023.139,-0.2,-0.22,-0.17,10867,98.2,10792,97.6
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,15,0,42,7206,305887,42.4,7016,97.4,4178,58,2682,37.2,2606,36.2,1405,19.5,902,12.5,26705.39,3.71,6813,-1815.436,-0.27,-0.3,-0.23,7077,98.2,7034,97.6
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,16,0,33,6142,270374.75,44,6013,97.9,3688,60,2442,39.8,2443,39.8,1273,20.7,859,14,23603.64,3.84,5707,-307.272,-0.05,-0.09,-0.02,6068,98.8,6038,98.3
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,17,0,18,3155,145204.5,46,3099,98.2,1998,63.3,1404,44.5,1587,50.3,859,27.2,583,18.5,12806.98,4.06,2918,362.298,0.12,0.07,0.18,3120,98.9,3098,98.2
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,18,0,8,1502,69110.75,46,1469,97.8,908,60.5,619,41.2,797,53.1,388,25.8,254,16.9,6115.58,4.07,1409,-71.349,-0.05,-0.12,0.02,1483,98.7,1478,98.4
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,19,0,4,820,45058.25,54.9,810,98.8,633,77.2,509,62.1,541,66,369,45,287,35,4144.28,5.05,753,763.057,1.01,0.91,1.11,815,99.4,812,99
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,20,0,8,1529,66564.5,43.5,1485,97.1,887,58,573,37.5,738,48.3,352,23,220,14.4,5982.76,3.91,1257,-114.459,-0.09,-0.17,-0.01,1514,99,1505,98.4
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,21,0,2,344,13522.75,39.3,332,96.5,158,45.9,81,23.5,135,39.2,53,15.4,36,10.5,1113.66,3.24,270,-33.8,-0.13,-0.29,0.04,342,99.4,339,98.5
