,0,1,2,3,4,5,6
0,group1,group2,meandiff,p-adj,lower,upper,reject
1,Asian,Black,-6.04,0.0012,-9.6924,-2.3876,True
2,Asian,Mixed,-4.68,0.0101,-8.3324,-1.0276,True
3,Asian,White,-6.02,0.0012,-9.6724,-2.3676,True
4,Black,Mixed,1.36,0.7147,-2.2924,5.0124,False
5,Black,White,0.02,1.0,-3.6324,3.6724,False
6,Mixed,White,-1.34,0.7236,-4.9924,2.3124,False
