time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,characteristics_group,characteristic,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Unclassified - Total,2209,10115,456500.26,45.1,9498,93.9,4353,43,6350,62.8,3379,33.4,1803,17.8,2437,24.1,39870.99,3.94,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Unclassified - Unclassified,2209,10115,456500.26,45.1,9498,93.9,4353,43,6350,62.8,3379,33.4,1803,17.8,2437,24.1,39870.99,3.94,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Any other Asian background,2219,10805,633411.01,58.6,10530,97.5,7245,67.1,8821,81.6,5712,52.9,3816,35.3,4753,44,57608.24,5.33,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Bangladeshi,1425,10247,570028.77,55.6,10025,97.8,6211,60.6,8125,79.3,5481,53.5,2959,28.9,4059,39.6,51031.36,4.98,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Indian,2055,16901,1048466.27,62,16634,98.4,12234,72.4,14442,85.5,9927,58.7,6966,41.2,8443,50,96150.31,5.69,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Mixed - White and Asian,2541,7531,423474.39,56.2,7365,97.8,4674,62.1,5942,78.9,3540,47,2289,30.4,2911,38.7,37807.85,5.02,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Mixed - White and Black African,1935,4093,207109.25,50.6,3981,97.3,2047,50,2922,71.4,1709,41.8,865,21.1,1233,30.1,18218.54,4.45,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Mixed - White and Black Caribbean,2457,8396,377443.26,45,8097,96.4,3286,39.1,5190,61.8,2639,31.4,1104,13.1,1732,20.6,32012.59,3.81,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Other - Any other ethnic group,2224,11265,582272.52,51.7,10855,96.4,5980,53.1,7979,70.8,5743,51,3010,26.7,4154,36.9,53008.98,4.71,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Other - Total,2224,11265,582272.52,51.7,10855,96.4,5980,53.1,7979,70.8,5743,51,3010,26.7,4154,36.9,53008.98,4.71,:,:,:,:,:
