time_period,time_identifier,geographic_level,country_code,country_name,pcon_code,pcon_name,version,level_methodology,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,Parliamentary constituency,E92000001,England,E14000962,St Helens North,Provisional,School location,State-funded schools (LA),8,1251,50768,40.6,1173,93.8,422,33.7,670,53.6,466,37.3,4308.22,3.44,159,12.7,258,20.6,1210,-563.131,-0.47,-0.55,-0.39
202223,Academic year,Parliamentary constituency,E92000001,England,E14000963,St Helens South and Whiston,Provisional,School location,State-funded schools (LA),4,866,37893.75,43.8,841,97.1,351,40.5,541,62.5,318,36.7,3229.39,3.73,118,13.6,178,20.6,841,-264.155,-0.31,-0.41,-0.22
202223,Academic year,Parliamentary constituency,E92000001,England,E14000964,St Ives,Provisional,School location,State-funded schools (LA),8,886,39876.75,45,862,97.3,381,43,576,65,246,27.8,3351.7,3.78,81,9.1,132,14.9,867,-121.519,-0.14,-0.23,-0.05
202223,Academic year,Parliamentary constituency,E92000001,England,E14000965,Stafford,Provisional,School location,State-funded schools (LA),8,1184,55175,46.6,1166,98.5,519,43.8,755,63.8,380,32.1,4822.94,4.07,183,15.5,264,22.3,1144,19.824,0.02,-0.06,0.1
202223,Academic year,Parliamentary constituency,E92000001,England,E14000966,Staffordshire Moorlands,Provisional,School location,State-funded schools (LA),6,769,33492.75,43.6,746,97,314,40.8,493,64.1,332,43.2,2889.94,3.76,113,14.7,189,24.6,759,-217.869,-0.29,-0.39,-0.19
202223,Academic year,Parliamentary constituency,E92000001,England,E14000967,Stalybridge and Hyde,Provisional,School location,State-funded schools (LA),8,1127,46747.5,41.5,1095,97.2,408,36.2,660,58.6,464,41.2,4060.02,3.6,144,12.8,215,19.1,1099,-455.632,-0.41,-0.5,-0.33
202223,Academic year,Parliamentary constituency,E92000001,England,E14000968,Stevenage,Provisional,School location,State-funded schools (LA),9,1242,57015.75,45.9,1168,94,544,43.8,813,65.5,302,24.3,4833.53,3.89,144,11.6,206,16.6,1202,86.884,0.07,-0.01,0.15
202223,Academic year,Parliamentary constituency,E92000001,England,E14000969,Stockport,Provisional,School location,State-funded schools (LA),4,572,25886.75,45.3,548,95.8,254,44.4,366,64,217,37.9,2302.69,4.03,88,15.4,122,21.3,540,-102.827,-0.19,-0.31,-0.07
202223,Academic year,Parliamentary constituency,E92000001,England,E14000970,Stockton North,Provisional,School location,State-funded schools (LA),4,662,27533,41.6,604,91.2,263,39.7,401,60.6,229,34.6,2379.26,3.59,84,12.7,148,22.4,647,-281.571,-0.44,-0.54,-0.33
202223,Academic year,Parliamentary constituency,E92000001,England,E14000971,Stockton South,Provisional,School location,State-funded schools (LA),11,1607,76346.25,47.5,1559,97,809,50.3,1132,70.4,751,46.7,6667.17,4.15,306,19,482,30,1566,-123.842,-0.08,-0.15,-0.01
202223,Academic year,Parliamentary constituency,E92000001,England,E14000972,Stoke-on-Trent Central,Provisional,School location,State-funded schools (LA),3,561,26510.25,47.3,549,97.9,244,43.5,359,64,255,45.5,2296.65,4.09,111,19.8,160,28.5,532,36.422,0.07,-0.05,0.19
202223,Academic year,Parliamentary constituency,E92000001,England,E14000973,Stoke-on-Trent North,Provisional,School location,State-funded schools (LA),9,1424,54478.75,38.3,1377,96.7,413,29,730,51.3,404,28.4,4474.24,3.14,68,4.8,148,10.4,1364,-799.969,-0.59,-0.66,-0.51
202223,Academic year,Parliamentary constituency,E92000001,England,E14000974,Stoke-on-Trent South,Provisional,School location,State-funded schools (LA),7,1001,39963.5,39.9,946,94.5,321,32.1,515,51.4,163,16.3,3276.16,3.27,55,5.5,81,8.1,948,-288.472,-0.3,-0.39,-0.21
202223,Academic year,Parliamentary constituency,E92000001,England,E14000975,Stone,Provisional,School location,State-funded schools (LA),7,867,42069.25,48.5,818,94.3,435,50.2,609,70.2,411,47.4,3731.08,4.3,161,18.6,231,26.6,847,115.112,0.14,0.04,0.23
202223,Academic year,Parliamentary constituency,E92000001,England,E14000976,Stourbridge,Provisional,School location,State-funded schools (LA),6,761,32904.5,43.2,737,96.8,279,36.7,464,61,301,39.6,2844.52,3.74,94,12.4,149,19.6,729,-115.263,-0.16,-0.26,-0.06
202223,Academic year,Parliamentary constituency,E92000001,England,E14000977,Stratford-on-Avon,Provisional,School location,State-funded schools (LA),11,1279,71653,56,1246,97.4,787,61.5,1016,79.4,556,43.5,6440.42,5.04,371,29,449,35.1,1201,390.32,0.32,0.25,0.4
202223,Academic year,Parliamentary constituency,E92000001,England,E14000978,Streatham,Provisional,School location,State-funded schools (LA),9,1121,51040.75,45.5,1083,96.6,512,45.7,712,63.5,576,51.4,4560.26,4.07,218,19.4,301,26.9,1002,55.212,0.06,-0.03,0.14
202223,Academic year,Parliamentary constituency,E92000001,England,E14000979,Stretford and Urmston,Provisional,School location,State-funded schools (LA),10,1094,55593.5,50.8,1047,95.7,578,52.8,762,69.7,413,37.8,4920.08,4.5,254,23.2,310,28.3,1002,-67.012,-0.07,-0.15,0.02
202223,Academic year,Parliamentary constituency,E92000001,England,E14000980,Stroud,Provisional,School location,State-funded schools (LA),9,992,51281.5,51.7,974,98.2,549,55.3,712,71.8,285,28.7,4430.14,4.47,157,15.8,214,21.6,933,94.627,0.1,0.01,0.19
202223,Academic year,Parliamentary constituency,E92000001,England,E14000981,Suffolk Coastal,Provisional,School location,State-funded schools (LA),4,640,27113.5,42.4,617,96.4,207,32.3,379,59.2,138,21.6,2302.29,3.6,63,9.8,83,13,611,-177.515,-0.29,-0.4,-0.18
