time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,9 to 4,1870,55
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,9 to 4,1872,61
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,9 to 4,3742,58
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,9 to 4,34457,63
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,9 to 4,25490,66
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,9 to 4,59947,64
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,Business,GCSE,9 to 4,3450,96
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,Business,GCSE,9 to 4,2926,96
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,Business,GCSE,9 to 4,6376,96
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,Business,GCSE,9 to 4,33,36
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,Business,GCSE,9 to 4,35,44
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,Business,GCSE,9 to 4,68,40
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,Business,GCSE,9 to 4,87,36
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,Business,GCSE,9 to 4,47,41
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,Business,GCSE,9 to 4,134,38
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Business,GCSE,9 to 5,24447,50
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Business,GCSE,9 to 5,19515,54
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Business,GCSE,9 to 5,43962,51
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Business,GCSE,9 to 5,2446,70
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Business,GCSE,9 to 5,2076,75
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Business,GCSE,9 to 5,4522,72
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Business,GCSE,9 to 5,33054,50
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Business,GCSE,9 to 5,26127,54
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Business,GCSE,9 to 5,59181,52
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Business,GCSE,9 to 5,11,27
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,Business,GCSE,9 to 5,4,31
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Business,GCSE,9 to 5,15,28
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Business,GCSE,9 to 5,30578,49
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Business,GCSE,9 to 5,24026,53
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Business,GCSE,9 to 5,54604,51
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Business,GCSE,9 to 5,3,19
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,Business,GCSE,9 to 5,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Business,GCSE,9 to 5,3,17
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Business,GCSE,9 to 5,19743,53
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Business,GCSE,9 to 5,16024,58
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Business,GCSE,9 to 5,35767,55
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,Business,GCSE,9 to 5,5,24
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,Business,GCSE,9 to 5,8,35
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,Business,GCSE,9 to 5,13,30
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Business,GCSE,9 to 5,1168,45
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Business,GCSE,9 to 5,689,45
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Business,GCSE,9 to 5,1857,45
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,Business,GCSE,9 to 5,2438,70
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,Business,GCSE,9 to 5,2072,75
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,Business,GCSE,9 to 5,4510,72
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,Business,GCSE,9 to 5,7,33
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent special schools,Total,Total,Business,GCSE,9 to 5,4,44
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,Business,GCSE,9 to 5,11,37
202223,Academic year,Provisional,National,E92000001,England,Boys,Non-maintained special schools,Total,Total,Business,GCSE,9 to 5,1,25
202223,Academic year,Provisional,National,E92000001,England,Girls,Non-maintained special schools,Total,Total,Business,GCSE,9 to 5,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,Non-maintained special schools,Total,Total,Business,GCSE,9 to 5,1,17
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,Business,GCSE,9 to 5,3465,37
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,Business,GCSE,9 to 5,2744,42
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,Business,GCSE,9 to 5,6209,39
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,Business,GCSE,9 to 5,30589,49
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,Business,GCSE,9 to 5,24028,53
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,Business,GCSE,9 to 5,54617,51
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Church of England,Business,GCSE,9 to 5,1580,51
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Church of England,Business,GCSE,9 to 5,1010,51
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Church of England,Business,GCSE,9 to 5,2590,51
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Hindu,Business,GCSE,9 to 5,25,61
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Hindu,Business,GCSE,9 to 5,34,76
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Hindu,Business,GCSE,9 to 5,59,69
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Jewish,Business,GCSE,9 to 5,83,49
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Jewish,Business,GCSE,9 to 5,83,55
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Jewish,Business,GCSE,9 to 5,166,52
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Muslim,Business,GCSE,9 to 5,32,47
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Muslim,Business,GCSE,9 to 5,15,47
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Muslim,Business,GCSE,9 to 5,47,47
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,Business,GCSE,9 to 5,25251,49
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,Business,GCSE,9 to 5,19860,53
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,Business,GCSE,9 to 5,45111,51
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,Business,GCSE,9 to 5,580,49
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,Business,GCSE,9 to 5,499,52
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,Business,GCSE,9 to 5,1079,51
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,Business,GCSE,9 to 5,2944,52
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,Business,GCSE,9 to 5,2468,55
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,Business,GCSE,9 to 5,5412,53
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Sikh,Business,GCSE,9 to 5,75,52
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Sikh,Business,GCSE,9 to 5,49,47
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Sikh,Business,GCSE,9 to 5,124,50
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,Business,GCSE,9 to 5,30575,49
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,Business,GCSE,9 to 5,24026,53
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,Business,GCSE,9 to 5,54601,51
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,9 to 5,1344,39
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,9 to 5,1399,45
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,9 to 5,2743,42
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,9 to 5,25998,47
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,9 to 5,19848,51
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,9 to 5,45846,49
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,Business,GCSE,9 to 5,3228,89
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,Business,GCSE,9 to 5,2771,91
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,Business,GCSE,9 to 5,5999,90
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,Business,GCSE,9 to 5,22,24
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,Business,GCSE,9 to 5,28,35
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,Business,GCSE,9 to 5,50,29
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,Business,GCSE,9 to 5,49,21
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,Business,GCSE,9 to 5,30,26
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,Business,GCSE,9 to 5,79,22
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Business,GCSE,Total pupil entries,49301,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Business,GCSE,Total pupil entries,36065,z
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Business,GCSE,Total pupil entries,85366,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Business,GCSE,Total pupil entries,3484,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Business,GCSE,Total pupil entries,2782,z
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Business,GCSE,Total pupil entries,6266,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Business,GCSE,Total pupil entries,65626,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Business,GCSE,Total pupil entries,47944,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Business,GCSE,Total pupil entries,113570,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Business,GCSE,Total pupil entries,41,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,Business,GCSE,Total pupil entries,13,z
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Business,GCSE,Total pupil entries,54,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Business,GCSE,Total pupil entries,61969,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Business,GCSE,Total pupil entries,45052,z
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Business,GCSE,Total pupil entries,107021,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Business,GCSE,Total pupil entries,16,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,Business,GCSE,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Business,GCSE,Total pupil entries,18,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Business,GCSE,Total pupil entries,37089,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Business,GCSE,Total pupil entries,27753,z
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Business,GCSE,Total pupil entries,64842,z
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,Business,GCSE,Total pupil entries,21,z
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,Business,GCSE,Total pupil entries,23,z
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,Business,GCSE,Total pupil entries,44,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Business,GCSE,Total pupil entries,2611,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Business,GCSE,Total pupil entries,1537,z
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Business,GCSE,Total pupil entries,4148,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,Business,GCSE,Total pupil entries,3459,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,Business,GCSE,Total pupil entries,2771,z
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,Business,GCSE,Total pupil entries,6230,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,Business,GCSE,Total pupil entries,21,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent special schools,Total,Total,Business,GCSE,Total pupil entries,9,z
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,Business,GCSE,Total pupil entries,30,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Non-maintained special schools,Total,Total,Business,GCSE,Total pupil entries,4,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Non-maintained special schools,Total,Total,Business,GCSE,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,Non-maintained special schools,Total,Total,Business,GCSE,Total pupil entries,6,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,Business,GCSE,Total pupil entries,9271,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,Business,GCSE,Total pupil entries,6581,z
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,Business,GCSE,Total pupil entries,15852,z
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,Business,GCSE,Total pupil entries,62062,z
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,Business,GCSE,Total pupil entries,45090,z
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,Business,GCSE,Total pupil entries,107152,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Church of England,Business,GCSE,Total pupil entries,3073,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Church of England,Business,GCSE,Total pupil entries,1994,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Church of England,Business,GCSE,Total pupil entries,5067,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Hindu,Business,GCSE,Total pupil entries,41,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Hindu,Business,GCSE,Total pupil entries,45,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Hindu,Business,GCSE,Total pupil entries,86,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Jewish,Business,GCSE,Total pupil entries,169,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Jewish,Business,GCSE,Total pupil entries,152,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Jewish,Business,GCSE,Total pupil entries,321,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Muslim,Business,GCSE,Total pupil entries,68,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Muslim,Business,GCSE,Total pupil entries,32,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Muslim,Business,GCSE,Total pupil entries,100,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,Business,GCSE,Total pupil entries,51575,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,Business,GCSE,Total pupil entries,37251,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,Business,GCSE,Total pupil entries,88826,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,Business,GCSE,Total pupil entries,1181,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,Business,GCSE,Total pupil entries,955,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,Business,GCSE,Total pupil entries,2136,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,Business,GCSE,Total pupil entries,5680,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,Business,GCSE,Total pupil entries,4493,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,Business,GCSE,Total pupil entries,10173,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Sikh,Business,GCSE,Total pupil entries,145,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Sikh,Business,GCSE,Total pupil entries,105,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Sikh,Business,GCSE,Total pupil entries,250,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,Business,GCSE,Total pupil entries,61953,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,Business,GCSE,Total pupil entries,45050,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,Business,GCSE,Total pupil entries,107003,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,Total pupil entries,3426,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,Total pupil entries,3081,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,Business,GCSE,Total pupil entries,6507,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,Total pupil entries,54898,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,Total pupil entries,38912,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,Business,GCSE,Total pupil entries,93810,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,Business,GCSE,Total pupil entries,3608,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,Business,GCSE,Total pupil entries,3034,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,Business,GCSE,Total pupil entries,6642,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,Business,GCSE,Total pupil entries,91,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,Business,GCSE,Total pupil entries,79,z
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,Business,GCSE,Total pupil entries,170,z
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,Business,GCSE,Total pupil entries,239,z
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,Business,GCSE,Total pupil entries,115,z
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,Business,GCSE,Total pupil entries,354,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Chemistry,GCSE,9 to 1,63687,99
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Chemistry,GCSE,9 to 1,60856,99
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Chemistry,GCSE,9 to 1,124543,99
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Chemistry,GCSE,9 to 1,6625,99
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Chemistry,GCSE,9 to 1,6875,99
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Chemistry,GCSE,9 to 1,13500,99
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Chemistry,GCSE,9 to 1,86027,99
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Chemistry,GCSE,9 to 1,82709,99
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Chemistry,GCSE,9 to 1,168736,99
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Chemistry,GCSE,9 to 1,169,92
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,Chemistry,GCSE,9 to 1,41,89
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Chemistry,GCSE,9 to 1,210,92
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Chemistry,GCSE,9 to 1,79277,99
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Chemistry,GCSE,9 to 1,75711,99
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Chemistry,GCSE,9 to 1,154988,99
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Chemistry,GCSE,9 to 1,92,95
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,Chemistry,GCSE,9 to 1,20,91
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Chemistry,GCSE,9 to 1,112,94
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Chemistry,GCSE,9 to 1,47682,99
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Chemistry,GCSE,9 to 1,46556,99
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Chemistry,GCSE,9 to 1,94238,99
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,Chemistry,GCSE,9 to 1,2,50
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,Chemistry,GCSE,9 to 1,2,50
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,Chemistry,GCSE,9 to 1,4,50
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Chemistry,GCSE,9 to 1,2971,99
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Chemistry,GCSE,9 to 1,2429,99
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Chemistry,GCSE,9 to 1,5400,99
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,Chemistry,GCSE,9 to 1,6548,99
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,Chemistry,GCSE,9 to 1,6854,99
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,Chemistry,GCSE,9 to 1,13402,99
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,Chemistry,GCSE,9 to 1,68,88
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent special schools,Total,Total,Chemistry,GCSE,9 to 1,15,83
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,Chemistry,GCSE,9 to 1,83,87
202223,Academic year,Provisional,National,E92000001,England,Boys,Non-maintained special schools,Total,Total,Chemistry,GCSE,9 to 1,9,100
202223,Academic year,Provisional,National,E92000001,England,Girls,Non-maintained special schools,Total,Total,Chemistry,GCSE,9 to 1,6,100
202223,Academic year,Provisional,National,E92000001,England,Total,Non-maintained special schools,Total,Total,Chemistry,GCSE,9 to 1,15,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,Chemistry,GCSE,9 to 1,11792,98
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,Chemistry,GCSE,9 to 1,11225,98
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,Chemistry,GCSE,9 to 1,23017,98
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,Chemistry,GCSE,9 to 1,79324,99
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,Chemistry,GCSE,9 to 1,75744,99
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,Chemistry,GCSE,9 to 1,155068,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Church of England,Chemistry,GCSE,9 to 1,4759,98
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Church of England,Chemistry,GCSE,9 to 1,4352,98
