time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any modern language,AS level and FSMQ,a to e,24,89
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any other subject,AS level and FSMQ,Total pupil entries,19,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any other subject,AS level and FSMQ,Total pupil entries,16,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any other subject,AS level and FSMQ,Total pupil entries,35,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any other subject,AS level and FSMQ,a to b,14,74
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any other subject,AS level and FSMQ,a to b,12,75
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any other subject,AS level and FSMQ,a to b,26,74
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any other subject,AS level and FSMQ,a to e,17,89
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any other subject,AS level and FSMQ,a to e,14,88
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any other subject,AS level and FSMQ,a to e,31,89
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Art and Design,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Art and Design,AS level and FSMQ,Total pupil entries,6,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Art and Design,AS level and FSMQ,Total pupil entries,7,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Art and Design,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Art and Design,AS level and FSMQ,a to b,3,50
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Art and Design,AS level and FSMQ,a to b,3,43
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Art and Design,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Art and Design,AS level and FSMQ,a to e,6,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Art and Design,AS level and FSMQ,a to e,7,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Biology,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Biology,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Biology,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Biology,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Biology,AS level and FSMQ,a to e,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Biology,AS level and FSMQ,a to e,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Business,AS level and FSMQ,Total pupil entries,3,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Business,AS level and FSMQ,Total pupil entries,3,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Business,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Business,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Business,AS level and FSMQ,a to e,2,67
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Business,AS level and FSMQ,a to e,2,67
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Chemistry,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Chemistry,AS level and FSMQ,Total pupil entries,2,z
