,time_period,gender,subject,total_exam_entries,grade
19911,201516,Boys,Other Design and Technology,27343,9 to 5
19912,201516,Girls,Other Design and Technology,10152,9 to 5
19913,201516,Total,Other Design and Technology,37495,9 to 5
19950,201516,Boys,Other Modern Languages,4993,9 to 5
19951,201516,Girls,Other Modern Languages,5714,9 to 5
19952,201516,Total,Other Modern Languages,10707,9 to 5
19989,201516,Boys,Other Sciences,3200,9 to 5
19990,201516,Girls,Other Sciences,1589,9 to 5
19991,201516,Total,Other Sciences,4789,9 to 5
20028,201516,Boys,Performing Arts,1454,9 to 5
20029,201516,Girls,Performing Arts,3854,9 to 5
20030,201516,Total,Performing Arts,5308,9 to 5
20067,201516,Boys,Physical Education,74881,9 to 5
20068,201516,Girls,Physical Education,39067,9 to 5
20069,201516,Total,Physical Education,113948,9 to 5
20106,201516,Boys,Physics,65070,9 to 5
20107,201516,Girls,Physics,64373,9 to 5
20108,201516,Total,Physics,129443,9 to 5
20145,201516,Boys,Polish,2296,9 to 5
20146,201516,Girls,Polish,2430,9 to 5
20147,201516,Total,Polish,4726,9 to 5
20184,201516,Boys,Religious Studies,124356,9 to 5
20185,201516,Girls,Religious Studies,144403,9 to 5
20186,201516,Total,Religious Studies,268759,9 to 5
20223,201516,Boys,Social Studies,19975,9 to 5
20224,201516,Girls,Social Studies,36508,9 to 5
20225,201516,Total,Social Studies,56483,9 to 5
20262,201516,Boys,Spanish,37601,9 to 5
20263,201516,Girls,Spanish,49918,9 to 5
20264,201516,Total,Spanish,87519,9 to 5
20301,201516,Boys,Statistics,26007,9 to 5
20302,201516,Girls,Statistics,22952,9 to 5
20303,201516,Total,Statistics,48959,9 to 5
20340,201516,Boys,Urdu,1451,9 to 5
20341,201516,Girls,Urdu,2554,9 to 5
20342,201516,Total,Urdu,4005,9 to 5
20379,201516,Boys,Vocational Studies,18220,9 to 5
20380,201516,Girls,Vocational Studies,21009,9 to 5
20381,201516,Total,Vocational Studies,39229,9 to 5
20418,201415,Boys,Additional Applied Science,6554,9 to 5
20419,201415,Girls,Additional Applied Science,6378,9 to 5
20420,201415,Total,Additional Applied Science,12932,9 to 5
20457,201415,Boys,Additional Science,148776,9 to 5
20458,201415,Girls,Additional Science,156188,9 to 5
20459,201415,Total,Additional Science,304964,9 to 5
20496,201415,Boys,All Subjects,2268834,9 to 5
20497,201415,Girls,All Subjects,2343738,9 to 5
20498,201415,Total,All Subjects,4612572,9 to 5
20613,201415,Boys,Ancient History,522,9 to 5
20614,201415,Girls,Ancient History,456,9 to 5
20615,201415,Total,Ancient History,978,9 to 5
20652,201415,Boys,Applied Art and Design,399,9 to 5
20653,201415,Girls,Applied Art and Design,424,9 to 5
20654,201415,Total,Applied Art and Design,823,9 to 5
20691,201415,Boys,Applied Business,6829,9 to 5
20692,201415,Girls,Applied Business,4815,9 to 5
20693,201415,Total,Applied Business,11644,9 to 5
20730,201415,Boys,Applied Engineering,5817,9 to 5
20731,201415,Girls,Applied Engineering,473,9 to 5
20732,201415,Total,Applied Engineering,6290,9 to 5
20769,201415,Boys,Arabic,1395,9 to 5
20770,201415,Girls,Arabic,1806,9 to 5
20771,201415,Total,Arabic,3201,9 to 5
20808,201415,Boys,Art and Design,59965,9 to 5
20809,201415,Girls,Art and Design,116222,9 to 5
20810,201415,Total,Art and Design,176187,9 to 5
20847,201415,Boys,Biological Sciences,63877,9 to 5
20848,201415,Girls,Biological Sciences,62252,9 to 5
20849,201415,Total,Biological Sciences,126129,9 to 5
20886,201415,Boys,Business Studies,42806,9 to 5
20887,201415,Girls,Business Studies,31215,9 to 5
20888,201415,Total,Business Studies,74021,9 to 5
20925,201415,Boys,Chemistry,62852,9 to 5
20926,201415,Girls,Chemistry,60538,9 to 5
20927,201415,Total,Chemistry,123390,9 to 5
20964,201415,Boys,Chinese,1761,9 to 5
20965,201415,Girls,Chinese,1525,9 to 5
20966,201415,Total,Chinese,3286,9 to 5
21003,201415,Boys,Classical Civilisation,2068,9 to 5
21004,201415,Girls,Classical Civilisation,1899,9 to 5
21005,201415,Total,Classical Civilisation,3967,9 to 5
21042,201415,Boys,Classical Greek,711,9 to 5
21043,201415,Girls,Classical Greek,490,9 to 5
21044,201415,Total,Classical Greek,1201,9 to 5
21081,201415,Boys,Communication Studies,4584,9 to 5
21082,201415,Girls,Communication Studies,4828,9 to 5
21083,201415,Total,Communication Studies,9412,9 to 5
21120,201415,Boys,Computer Science,28101,9 to 5
21121,201415,Girls,Computer Science,5432,9 to 5
21122,201415,Total,Computer Science,33533,9 to 5
21159,201415,Boys,Core Science,183841,9 to 5
21160,201415,Girls,Core Science,185357,9 to 5
21161,201415,Total,Core Science,369198,9 to 5
21198,201415,Boys,D & T: Electronic Products,7327,9 to 5
21199,201415,Girls,D & T: Electronic Products,568,9 to 5
21200,201415,Total,D & T: Electronic Products,7895,9 to 5
21237,201415,Boys,D & T: Food Technology,14091,9 to 5
21238,201415,Girls,D & T: Food Technology,24332,9 to 5
21239,201415,Total,D & T: Food Technology,38423,9 to 5
21276,201415,Boys,D & T: Graphic Products,19958,9 to 5
21277,201415,Girls,D & T: Graphic Products,11901,9 to 5
21278,201415,Total,D & T: Graphic Products,31859,9 to 5
21315,201415,Boys,D & T: Resistant Materials,43489,9 to 5
21316,201415,Girls,D & T: Resistant Materials,7608,9 to 5
21317,201415,Total,D & T: Resistant Materials,51097,9 to 5
21354,201415,Boys,D & T: Systems & Control,2811,9 to 5
21355,201415,Girls,D & T: Systems & Control,168,9 to 5
21356,201415,Total,D & T: Systems & Control,2979,9 to 5
21393,201415,Boys,D & T: Textiles Technology,752,9 to 5
21394,201415,Girls,D & T: Textiles Technology,23450,9 to 5
21395,201415,Total,D & T: Textiles Technology,24202,9 to 5
21432,201415,Boys,Dance,842,9 to 5
21433,201415,Girls,Dance,11164,9 to 5
21434,201415,Total,Dance,12006,9 to 5
21471,201415,Boys,Drama,27237,9 to 5
21472,201415,Girls,Drama,43614,9 to 5
21473,201415,Total,Drama,70851,9 to 5
21510,201415,Boys,Economics,6378,9 to 5
21511,201415,Girls,Economics,3076,9 to 5
21512,201415,Total,Economics,9454,9 to 5
21549,201415,Boys,English,176842,9 to 5
21550,201415,Girls,English,186560,9 to 5
21551,201415,Total,English,363402,9 to 5
21588,201415,Boys,English Literature,195575,9 to 5
21589,201415,Girls,English Literature,211491,9 to 5
21590,201415,Total,English Literature,407066,9 to 5
21627,201415,Boys,English Studies,353,9 to 5
21628,201415,Girls,English Studies,368,9 to 5
21629,201415,Total,English Studies,721,9 to 5
21666,201415,Boys,French,64214,9 to 5
21667,201415,Girls,French,86881,9 to 5
21668,201415,Total,French,151095,9 to 5
21705,201415,Boys,Further Additional Science,11420,9 to 5
21706,201415,Girls,Further Additional Science,11474,9 to 5
21707,201415,Total,Further Additional Science,22894,9 to 5
21744,201415,Boys,General Studies,4961,9 to 5
21745,201415,Girls,General Studies,4562,9 to 5
21746,201415,Total,General Studies,9523,9 to 5
21783,201415,Boys,Geography,113351,9 to 5
21784,201415,Girls,Geography,98046,9 to 5
21785,201415,Total,Geography,211397,9 to 5
21822,201415,Boys,German,25466,9 to 5
21823,201415,Girls,German,27280,9 to 5
21824,201415,Total,German,52746,9 to 5
21861,201415,Boys,Health and Social Care,1200,9 to 5
21862,201415,Girls,Health and Social Care,17170,9 to 5
21863,201415,Total,Health and Social Care,18370,9 to 5
21900,201415,Boys,History,110702,9 to 5
21901,201415,Girls,History,118367,9 to 5
21902,201415,Total,History,229069,9 to 5
21939,201415,Boys,Home Economics,3307,9 to 5
21940,201415,Girls,Home Economics,23847,9 to 5
21941,201415,Total,Home Economics,27154,9 to 5
21978,201415,Boys,Hospitality and Catering,1055,9 to 5
21979,201415,Girls,Hospitality and Catering,1394,9 to 5
21980,201415,Total,Hospitality and Catering,2449,9 to 5
22017,201415,Boys,Humanities,4362,9 to 5
22018,201415,Girls,Humanities,4038,9 to 5
22019,201415,Total,Humanities,8400,9 to 5
22056,201415,Boys,Information Technology,57010,9 to 5
22057,201415,Girls,Information Technology,42551,9 to 5
22058,201415,Total,Information Technology,99561,9 to 5
22095,201415,Boys,Italian,1752,9 to 5
22096,201415,Girls,Italian,2252,9 to 5
22097,201415,Total,Italian,4004,9 to 5
22134,201415,Boys,Latin,4150,9 to 5
22135,201415,Girls,Latin,4211,9 to 5
22136,201415,Total,Latin,8361,9 to 5
22173,201415,Boys,Leisure and Tourism,2917,9 to 5
22174,201415,Girls,Leisure and Tourism,3107,9 to 5
22175,201415,Total,Leisure and Tourism,6024,9 to 5
22212,201415,Boys,Manufacturing,94,9 to 5
22213,201415,Girls,Manufacturing,40,9 to 5
22214,201415,Total,Manufacturing,134,9 to 5
22251,201415,Boys,Mathematics,290391,9 to 5
22252,201415,Girls,Mathematics,281881,9 to 5
22253,201415,Total,Mathematics,572272,9 to 5
22290,201415,Boys,Media/Film/TV,26234,9 to 5
22291,201415,Girls,Media/Film/TV,25368,9 to 5
22292,201415,Total,Media/Film/TV,51602,9 to 5
22329,201415,Boys,Music,20393,9 to 5
22330,201415,Girls,Music,23305,9 to 5
22331,201415,Total,Music,43698,9 to 5
22368,201415,Boys,Other Classical Studies,148,9 to 5
22369,201415,Girls,Other Classical Studies,362,9 to 5
22370,201415,Total,Other Classical Studies,510,9 to 5
22407,201415,Boys,Other Design and Technology,27501,9 to 5
22408,201415,Girls,Other Design and Technology,10722,9 to 5
22409,201415,Total,Other Design and Technology,38223,9 to 5
22446,201415,Boys,Other Modern Languages,4987,9 to 5
22447,201415,Girls,Other Modern Languages,5542,9 to 5
22448,201415,Total,Other Modern Languages,10529,9 to 5
22485,201415,Boys,Other Sciences,3971,9 to 5
22486,201415,Girls,Other Sciences,2252,9 to 5
22487,201415,Total,Other Sciences,6223,9 to 5
22524,201415,Boys,Performing Arts,1665,9 to 5
22525,201415,Girls,Performing Arts,4333,9 to 5
22526,201415,Total,Performing Arts,5998,9 to 5
22563,201415,Boys,Physical Education,73377,9 to 5
22564,201415,Girls,Physical Education,37413,9 to 5
22565,201415,Total,Physical Education,110790,9 to 5
22602,201415,Boys,Physics,62238,9 to 5
22603,201415,Girls,Physics,60374,9 to 5
22604,201415,Total,Physics,122612,9 to 5
22641,201415,Boys,Polish,1923,9 to 5
22642,201415,Girls,Polish,2152,9 to 5
22643,201415,Total,Polish,4075,9 to 5
22680,201415,Boys,Religious Studies,125085,9 to 5
22681,201415,Girls,Religious Studies,144426,9 to 5
22682,201415,Total,Religious Studies,269511,9 to 5
22719,201415,Boys,Social Studies,21916,9 to 5
22720,201415,Girls,Social Studies,38414,9 to 5
22721,201415,Total,Social Studies,60330,9 to 5
22758,201415,Boys,Spanish,36821,9 to 5
22759,201415,Girls,Spanish,48521,9 to 5
22760,201415,Total,Spanish,85342,9 to 5
22797,201415,Boys,Statistics,28134,9 to 5
22798,201415,Girls,Statistics,23924,9 to 5
22799,201415,Total,Statistics,52058,9 to 5
22836,201415,Boys,Urdu,1626,9 to 5
22837,201415,Girls,Urdu,2559,9 to 5
22838,201415,Total,Urdu,4185,9 to 5
22875,201415,Boys,Vocational Studies,19950,9 to 5
22876,201415,Girls,Vocational Studies,22372,9 to 5
22877,201415,Total,Vocational Studies,42322,9 to 5
22914,201314,Boys,Additional Applied Science,6616,9 to 5
22915,201314,Girls,Additional Applied Science,6697,9 to 5
22916,201314,Total,Additional Applied Science,13313,9 to 5
22953,201314,Boys,Additional Science,131575,9 to 5
22954,201314,Girls,Additional Science,139627,9 to 5
22955,201314,Total,Additional Science,271202,9 to 5
22992,201314,Boys,All Subjects,2284001,9 to 5
22993,201314,Girls,All Subjects,2372286,9 to 5
22994,201314,Total,All Subjects,4656287,9 to 5
23109,201314,Boys,Ancient History,625,9 to 5
23110,201314,Girls,Ancient History,507,9 to 5
23111,201314,Total,Ancient History,1132,9 to 5
23148,201314,Boys,Applied Art and Design,367,9 to 5
23149,201314,Girls,Applied Art and Design,489,9 to 5
23150,201314,Total,Applied Art and Design,856,9 to 5
23187,201314,Boys,Applied Business,4852,9 to 5
23188,201314,Girls,Applied Business,3185,9 to 5
23189,201314,Total,Applied Business,8037,9 to 5
23226,201314,Boys,Applied Engineering,3863,9 to 5
23227,201314,Girls,Applied Engineering,228,9 to 5
23228,201314,Total,Applied Engineering,4091,9 to 5
23265,201314,Boys,Arabic,1368,9 to 5
23266,201314,Girls,Arabic,1598,9 to 5
23267,201314,Total,Arabic,2966,9 to 5
23304,201314,Boys,Art and Design,58109,9 to 5
23305,201314,Girls,Art and Design,112969,9 to 5
23306,201314,Total,Art and Design,171078,9 to 5
23343,201314,Boys,Biological Sciences,67270,9 to 5
23344,201314,Girls,Biological Sciences,65698,9 to 5
23345,201314,Total,Biological Sciences,132968,9 to 5
23382,201314,Boys,Business Studies,43774,9 to 5
23383,201314,Girls,Business Studies,30552,9 to 5
23384,201314,Total,Business Studies,74326,9 to 5
23421,201314,Boys,Chemistry,65818,9 to 5
23422,201314,Girls,Chemistry,63841,9 to 5
23423,201314,Total,Chemistry,129659,9 to 5
23460,201314,Boys,Chinese,1470,9 to 5
23461,201314,Girls,Chinese,1360,9 to 5
23462,201314,Total,Chinese,2830,9 to 5
23499,201314,Boys,Classical Civilisation,2145,9 to 5
23500,201314,Girls,Classical Civilisation,1972,9 to 5
23501,201314,Total,Classical Civilisation,4117,9 to 5
23538,201314,Boys,Classical Greek,705,9 to 5
23539,201314,Girls,Classical Greek,468,9 to 5
23540,201314,Total,Classical Greek,1173,9 to 5
23577,201314,Boys,Communication Studies,4785,9 to 5
23578,201314,Girls,Communication Studies,5058,9 to 5
23579,201314,Total,Communication Studies,9843,9 to 5
23616,201314,Boys,Computer Science,13428,9 to 5
23617,201314,Girls,Computer Science,2374,9 to 5
23618,201314,Total,Computer Science,15802,9 to 5
23655,201314,Boys,Core Science,175051,9 to 5
23656,201314,Girls,Core Science,177855,9 to 5
23657,201314,Total,Core Science,352906,9 to 5
23694,201314,Boys,D & T: Electronic Products,7692,9 to 5
23695,201314,Girls,D & T: Electronic Products,628,9 to 5
23696,201314,Total,D & T: Electronic Products,8320,9 to 5
23733,201314,Boys,D & T: Food Technology,14951,9 to 5
23734,201314,Girls,D & T: Food Technology,25639,9 to 5
23735,201314,Total,D & T: Food Technology,40590,9 to 5
23772,201314,Boys,D & T: Graphic Products,20953,9 to 5
23773,201314,Girls,D & T: Graphic Products,12921,9 to 5
23774,201314,Total,D & T: Graphic Products,33874,9 to 5
23811,201314,Boys,D & T: Resistant Materials,45024,9 to 5
23812,201314,Girls,D & T: Resistant Materials,7760,9 to 5
23813,201314,Total,D & T: Resistant Materials,52784,9 to 5
23850,201314,Boys,D & T: Systems & Control,3091,9 to 5
23851,201314,Girls,D & T: Systems & Control,150,9 to 5
23852,201314,Total,D & T: Systems & Control,3241,9 to 5
23889,201314,Boys,D & T: Textiles Technology,820,9 to 5
23890,201314,Girls,D & T: Textiles Technology,24773,9 to 5
23891,201314,Total,D & T: Textiles Technology,25593,9 to 5
23928,201314,Boys,Dance,811,9 to 5
23929,201314,Girls,Dance,11136,9 to 5
23930,201314,Total,Dance,11947,9 to 5
23967,201314,Boys,Drama,27225,9 to 5
23968,201314,Girls,Drama,43759,9 to 5
23969,201314,Total,Drama,70984,9 to 5
24006,201314,Boys,Economics,3481,9 to 5
24007,201314,Girls,Economics,1445,9 to 5
24008,201314,Total,Economics,4926,9 to 5
24045,201314,Boys,English,229932,9 to 5
24046,201314,Girls,English,234257,9 to 5
24047,201314,Total,English,464189,9 to 5
24084,201314,Boys,English Literature,193518,9 to 5
24085,201314,Girls,English Literature,214587,9 to 5
24086,201314,Total,English Literature,408105,9 to 5
24123,201314,Boys,English Studies,445,9 to 5
24124,201314,Girls,English Studies,338,9 to 5
24125,201314,Total,English Studies,783,9 to 5
24162,201314,Boys,French,69121,9 to 5
24163,201314,Girls,French,91834,9 to 5
24164,201314,Total,French,160955,9 to 5
24201,201314,Boys,Further Additional Science,10607,9 to 5
24202,201314,Girls,Further Additional Science,10429,9 to 5
24203,201314,Total,Further Additional Science,21036,9 to 5
24240,201314,Boys,General Studies,4595,9 to 5
24241,201314,Girls,General Studies,4421,9 to 5
24242,201314,Total,General Studies,9016,9 to 5
24279,201314,Boys,Geography,112281,9 to 5
24280,201314,Girls,Geography,96959,9 to 5
24281,201314,Total,Geography,209240,9 to 5
24318,201314,Boys,German,28070,9 to 5
24319,201314,Girls,German,30450,9 to 5
24320,201314,Total,German,58520,9 to 5
24357,201314,Boys,Health and Social Care,741,9 to 5
24358,201314,Girls,Health and Social Care,12910,9 to 5
24359,201314,Total,Health and Social Care,13651,9 to 5
24396,201314,Boys,History,115413,9 to 5
24397,201314,Girls,History,122846,9 to 5
24398,201314,Total,History,238259,9 to 5
24435,201314,Boys,Home Economics,3594,9 to 5
24436,201314,Girls,Home Economics,24583,9 to 5
24437,201314,Total,Home Economics,28177,9 to 5
24474,201314,Boys,Hospitality and Catering,880,9 to 5
24475,201314,Girls,Hospitality and Catering,1358,9 to 5
24476,201314,Total,Hospitality and Catering,2238,9 to 5
24513,201314,Boys,Humanities,5150,9 to 5
24514,201314,Girls,Humanities,4916,9 to 5
24515,201314,Total,Humanities,10066,9 to 5
24552,201314,Boys,Information Technology,46552,9 to 5
24553,201314,Girls,Information Technology,35324,9 to 5
24554,201314,Total,Information Technology,81876,9 to 5
24591,201314,Boys,Italian,1740,9 to 5
24592,201314,Girls,Italian,2328,9 to 5
24593,201314,Total,Italian,4068,9 to 5
24630,201314,Boys,Latin,4302,9 to 5
24631,201314,Girls,Latin,4566,9 to 5
24632,201314,Total,Latin,8868,9 to 5
24669,201314,Boys,Leisure and Tourism,3241,9 to 5
24670,201314,Girls,Leisure and Tourism,3185,9 to 5
24671,201314,Total,Leisure and Tourism,6426,9 to 5
24708,201314,Boys,Manufacturing,122,9 to 5
24709,201314,Girls,Manufacturing,14,9 to 5
24710,201314,Total,Manufacturing,136,9 to 5
24747,201314,Boys,Mathematics,303147,9 to 5
24748,201314,Girls,Mathematics,293691,9 to 5
24749,201314,Total,Mathematics,596838,9 to 5
24786,201314,Boys,Media/Film/TV,26290,9 to 5
24787,201314,Girls,Media/Film/TV,25038,9 to 5
24788,201314,Total,Media/Film/TV,51328,9 to 5
24825,201314,Boys,Music,20902,9 to 5
24826,201314,Girls,Music,21544,9 to 5
24827,201314,Total,Music,42446,9 to 5
24864,201314,Boys,Other Classical Studies,144,9 to 5
24865,201314,Girls,Other Classical Studies,352,9 to 5
24866,201314,Total,Other Classical Studies,496,9 to 5
24903,201314,Boys,Other Design and Technology,26092,9 to 5
24904,201314,Girls,Other Design and Technology,10761,9 to 5
24905,201314,Total,Other Design and Technology,36853,9 to 5
24942,201314,Boys,Other Modern Languages,4791,9 to 5
24943,201314,Girls,Other Modern Languages,5563,9 to 5
24944,201314,Total,Other Modern Languages,10354,9 to 5
24981,201314,Boys,Other Sciences,4288,9 to 5
24982,201314,Girls,Other Sciences,2580,9 to 5
24983,201314,Total,Other Sciences,6868,9 to 5
25020,201314,Boys,Performing Arts,1362,9 to 5
25021,201314,Girls,Performing Arts,3142,9 to 5
25022,201314,Total,Performing Arts,4504,9 to 5
25059,201314,Boys,Physical Education,67810,9 to 5
25060,201314,Girls,Physical Education,34784,9 to 5
25061,201314,Total,Physical Education,102594,9 to 5
25098,201314,Boys,Physics,65148,9 to 5
25099,201314,Girls,Physics,63604,9 to 5
25100,201314,Total,Physics,128752,9 to 5
25137,201314,Boys,Polish,1860,9 to 5
25138,201314,Girls,Polish,2088,9 to 5
25139,201314,Total,Polish,3948,9 to 5
25176,201314,Boys,Religious Studies,120566,9 to 5
25177,201314,Girls,Religious Studies,138793,9 to 5
25178,201314,Total,Religious Studies,259359,9 to 5
25215,201314,Boys,Social Studies,20556,9 to 5
25216,201314,Girls,Social Studies,36435,9 to 5
25217,201314,Total,Social Studies,56991,9 to 5
25254,201314,Boys,Spanish,38078,9 to 5
25255,201314,Girls,Spanish,49475,9 to 5
25256,201314,Total,Spanish,87553,9 to 5
25293,201314,Boys,Statistics,26152,9 to 5
25294,201314,Girls,Statistics,22902,9 to 5
25295,201314,Total,Statistics,49054,9 to 5
25332,201314,Boys,Urdu,1614,9 to 5
25333,201314,Girls,Urdu,2497,9 to 5
25334,201314,Total,Urdu,4111,9 to 5
25371,201314,Boys,Vocational Studies,19028,9 to 5
25372,201314,Girls,Vocational Studies,21043,9 to 5
25373,201314,Total,Vocational Studies,40071,9 to 5
25410,201213,Boys,Additional Applied Science,5669,9 to 5
25411,201213,Girls,Additional Applied Science,6141,9 to 5
25412,201213,Total,Additional Applied Science,11810,9 to 5
25449,201213,Boys,Additional Science,119596,9 to 5
25450,201213,Girls,Additional Science,128934,9 to 5
25451,201213,Total,Additional Science,248530,9 to 5
25488,201213,Boys,All Subjects,2238514,9 to 5
25489,201213,Girls,All Subjects,2347182,9 to 5
25490,201213,Total,All Subjects,4585696,9 to 5
25605,201213,Boys,Ancient History,505,9 to 5
25606,201213,Girls,Ancient History,401,9 to 5
25607,201213,Total,Ancient History,906,9 to 5
25644,201213,Boys,Applied Art and Design,382,9 to 5
25645,201213,Girls,Applied Art and Design,669,9 to 5
25646,201213,Total,Applied Art and Design,1051,9 to 5
25683,201213,Boys,Applied Business,2908,9 to 5
25684,201213,Girls,Applied Business,1837,9 to 5
25685,201213,Total,Applied Business,4745,9 to 5
25722,201213,Boys,Applied Engineering,1959,9 to 5
25723,201213,Girls,Applied Engineering,173,9 to 5
25724,201213,Total,Applied Engineering,2132,9 to 5
25761,201213,Boys,Arabic,1183,9 to 5
25762,201213,Girls,Arabic,1447,9 to 5
25763,201213,Total,Arabic,2630,9 to 5
25800,201213,Boys,Art and Design,54309,9 to 5
25801,201213,Girls,Art and Design,110201,9 to 5
25802,201213,Total,Art and Design,164510,9 to 5
25839,201213,Boys,Biological Sciences,77657,9 to 5
25840,201213,Girls,Biological Sciences,74767,9 to 5
25841,201213,Total,Biological Sciences,152424,9 to 5
25878,201213,Boys,Business Studies,38383,9 to 5
25879,201213,Girls,Business Studies,26063,9 to 5
25880,201213,Total,Business Studies,64446,9 to 5
25917,201213,Boys,Chemistry,77132,9 to 5
25918,201213,Girls,Chemistry,73637,9 to 5
25919,201213,Total,Chemistry,150769,9 to 5
25956,201213,Boys,Chinese,1229,9 to 5
25957,201213,Girls,Chinese,1112,9 to 5
25958,201213,Total,Chinese,2341,9 to 5
25995,201213,Boys,Classical Civilisation,2047,9 to 5
25996,201213,Girls,Classical Civilisation,1805,9 to 5
25997,201213,Total,Classical Civilisation,3852,9 to 5
26034,201213,Boys,Classical Greek,678,9 to 5
26035,201213,Girls,Classical Greek,446,9 to 5
26036,201213,Total,Classical Greek,1124,9 to 5
26073,201213,Boys,Communication Studies,4125,9 to 5
26074,201213,Girls,Communication Studies,4940,9 to 5
26075,201213,Total,Communication Studies,9065,9 to 5
26112,201213,Boys,Computer Science,3434,9 to 5
26113,201213,Girls,Computer Science,587,9 to 5
26114,201213,Total,Computer Science,4021,9 to 5
26151,201213,Boys,Construction,43,9 to 5
26152,201213,Girls,Construction,0,9 to 5
26153,201213,Total,Construction,43,9 to 5
26190,201213,Boys,Core Science,158387,9 to 5
26191,201213,Girls,Core Science,163577,9 to 5
26192,201213,Total,Core Science,321964,9 to 5
26229,201213,Boys,D & T: Electronic Products,7852,9 to 5
26230,201213,Girls,D & T: Electronic Products,646,9 to 5
26231,201213,Total,D & T: Electronic Products,8498,9 to 5
26268,201213,Boys,D & T: Food Technology,16119,9 to 5
26269,201213,Girls,D & T: Food Technology,27307,9 to 5
26270,201213,Total,D & T: Food Technology,43426,9 to 5
26307,201213,Boys,D & T: Graphic Products,22244,9 to 5
26308,201213,Girls,D & T: Graphic Products,13994,9 to 5
26309,201213,Total,D & T: Graphic Products,36238,9 to 5
26346,201213,Boys,D & T: Resistant Materials,44851,9 to 5
26347,201213,Girls,D & T: Resistant Materials,7575,9 to 5
26348,201213,Total,D & T: Resistant Materials,52426,9 to 5
26385,201213,Boys,D & T: Systems & Control,3250,9 to 5
26386,201213,Girls,D & T: Systems & Control,233,9 to 5
26387,201213,Total,D & T: Systems & Control,3483,9 to 5
26424,201213,Boys,D & T: Textiles Technology,765,9 to 5
26425,201213,Girls,D & T: Textiles Technology,26995,9 to 5
26426,201213,Total,D & T: Textiles Technology,27760,9 to 5
26463,201213,Boys,Dance,743,9 to 5
26464,201213,Girls,Dance,10797,9 to 5
26465,201213,Total,Dance,11540,9 to 5
26502,201213,Boys,Drama,27145,9 to 5
26503,201213,Girls,Drama,42609,9 to 5
26504,201213,Total,Drama,69754,9 to 5
26541,201213,Boys,Economics,2971,9 to 5
26542,201213,Girls,Economics,1311,9 to 5
26543,201213,Total,Economics,4282,9 to 5
26580,201213,Boys,English,274738,9 to 5
26581,201213,Girls,English,276063,9 to 5
26582,201213,Total,English,550801,9 to 5
26619,201213,Boys,English Literature,197831,9 to 5
26620,201213,Girls,English Literature,223967,9 to 5
26621,201213,Total,English Literature,421798,9 to 5
26658,201213,Boys,English Studies,1112,9 to 5
26659,201213,Girls,English Studies,978,9 to 5
26660,201213,Total,English Studies,2090,9 to 5
26697,201213,Boys,French,68953,9 to 5
26698,201213,Girls,French,92868,9 to 5
26699,201213,Total,French,161821,9 to 5
26736,201213,Boys,General Studies,2473,9 to 5
26737,201213,Girls,General Studies,2383,9 to 5
26738,201213,Total,General Studies,4856,9 to 5
26775,201213,Boys,Geography,107293,9 to 5
26776,201213,Girls,Geography,92953,9 to 5
26777,201213,Total,Geography,200246,9 to 5
26814,201213,Boys,German,28938,9 to 5
26815,201213,Girls,German,31382,9 to 5
26816,201213,Total,German,60320,9 to 5
26853,201213,Boys,Health and Social Care,394,9 to 5
26854,201213,Girls,Health and Social Care,7356,9 to 5
26855,201213,Total,Health and Social Care,7750,9 to 5
26892,201213,Boys,History,115848,9 to 5
26893,201213,Girls,History,118860,9 to 5
26894,201213,Total,History,234708,9 to 5
26931,201213,Boys,Home Economics,3668,9 to 5
26932,201213,Girls,Home Economics,22582,9 to 5
26933,201213,Total,Home Economics,26250,9 to 5
26970,201213,Boys,Hospitality and Catering,743,9 to 5
26971,201213,Girls,Hospitality and Catering,1294,9 to 5
26972,201213,Total,Hospitality and Catering,2037,9 to 5
27009,201213,Boys,Humanities,6290,9 to 5
27010,201213,Girls,Humanities,6138,9 to 5
27011,201213,Total,Humanities,12428,9 to 5
27048,201213,Boys,Information Technology,29983,9 to 5
27049,201213,Girls,Information Technology,23753,9 to 5
27050,201213,Total,Information Technology,53736,9 to 5
27087,201213,Boys,Italian,1766,9 to 5
27088,201213,Girls,Italian,2314,9 to 5
27089,201213,Total,Italian,4080,9 to 5
27126,201213,Boys,Latin,4334,9 to 5
27127,201213,Girls,Latin,4659,9 to 5
27128,201213,Total,Latin,8993,9 to 5
27165,201213,Boys,Leisure and Tourism,1148,9 to 5
27166,201213,Girls,Leisure and Tourism,1368,9 to 5
27167,201213,Total,Leisure and Tourism,2516,9 to 5
27204,201213,Boys,Manufacturing,85,9 to 5
27205,201213,Girls,Manufacturing,14,9 to 5
27206,201213,Total,Manufacturing,99,9 to 5
27243,201213,Boys,Mathematics,305315,9 to 5
27244,201213,Girls,Mathematics,297858,9 to 5
27245,201213,Total,Mathematics,603173,9 to 5
27282,201213,Boys,Media/Film/TV,24111,9 to 5
27283,201213,Girls,Media/Film/TV,24587,9 to 5
27284,201213,Total,Media/Film/TV,48698,9 to 5
27321,201213,Boys,Music,20680,9 to 5
27322,201213,Girls,Music,20576,9 to 5
27323,201213,Total,Music,41256,9 to 5
27360,201213,Boys,Other Classical Studies,119,9 to 5
27361,201213,Girls,Other Classical Studies,314,9 to 5
27362,201213,Total,Other Classical Studies,433,9 to 5
